ORDERKEY;PRODUCTKEY;QUANTITY;CATALOGPRICE;DISCOUNTAMOUNT;DISCOUNTPCTG;TRANSACTIONPRICE
SO58317;529;3;3,99;1,16;29;2,83
SO58317;539;2;24,99;12,25;49;12,74
SO58317;222;1;34,99;7,35;21;27,64
SO58318;539;2;24,99;11,5;46;13,49
SO58318;529;1;3,99;0,84;21;3,15
SO58318;480;3;2,29;0,48;21;1,81
SO58319;528;3;4,99;1,15;23;3,84
SO58319;536;2;29,99;11,7;39;18,29
SO58320;528;2;4,99;1,55;31;3,44
SO58320;537;3;35;4,55;13;30,45
SO58321;537;2;35;7;20;28
SO58321;528;2;4,99;0,55;11;4,44
SO58321;485;1;21,98;2,2;10;19,78
SO58321;480;1;2,29;0,16;7;2,13
SO58322;537;2;35;7;20;28
SO58322;480;2;2,29;0,87;38;1,42
SO58323;485;2;21,98;5,71;26;16,27
SO58324;485;2;21,98;9,01;41;12,97
SO58324;478;1;9,99;3,8;38;6,19
SO58324;477;3;4,99;1,6;32;3,39
SO58324;217;2;34,99;12,95;37;22,04
SO58325;537;2;35;9,1;26;25,9
SO58326;537;1;35;2,8;8;32,2
SO58326;485;2;21,98;3,3;15;18,68
SO58327;477;3;4,99;1,1;22;3,89
SO58327;478;1;9,99;0,8;8;9,19
SO58328;485;2;21,98;8,79;40;13,19
SO58328;486;1;159;74,73;47;84,27
SO58329;583;3;1700,99;544,32;32;1156,67
SO58329;490;1;53,99;21,06;39;32,93
SO58329;225;3;8,99;3,06;34;5,93
SO58330;590;2;769,49;215,46;28;554,03
SO58331;587;3;769,49;223,15;29;546,34
SO58332;589;1;769,49;369,36;48;400,13
SO58332;222;1;34,99;12,25;35;22,74
SO58333;361;2;2294,99;91,8;4;2203,19
SO58333;478;2;9,99;1;10;8,99
SO58333;477;3;4,99;1,3;26;3,69
SO58333;487;2;54,99;6,05;11;48,94
SO58334;363;2;2294,99;1124,55;49;1170,44
SO58334;485;2;21,98;3,52;16;18,46
SO58334;214;2;34,99;16,8;48;18,19
SO58335;363;1;2294,99;481,95;21;1813,04
SO58335;537;2;35;1,75;5;33,25
SO58336;590;1;769,49;323,19;42;446,3
SO58336;222;2;34,99;17,15;49;17,84
SO58337;589;2;769,49;253,93;33;515,56
SO58338;372;1;2443,35;635,27;26;1808,08
SO58338;477;2;4,99;1,35;27;3,64
SO58338;479;2;8,99;1,98;22;7,01
SO58338;491;3;53,99;27;50;26,99
SO58338;463;2;24,49;2,94;12;21,55
SO58339;605;2;539,99;253,8;47;286,19
SO58339;479;2;8,99;3,78;42;5,21
SO58339;477;3;4,99;1,35;27;3,64
SO58339;214;3;34,99;7;20;27,99
SO58339;225;3;8,99;1,62;18;7,37
SO58339;237;2;49,99;24,5;49;25,49
SO58340;353;1;2319,99;417,6;18;1902,39
SO58341;380;2;2443,35;73,3;3;2370,05
SO58341;217;2;34,99;14;40;20,99
SO58342;577;3;1214,85;388,75;32;826,1
SO58342;217;2;34,99;10,15;29;24,84
SO58342;471;2;63,5;20,96;33;42,54
SO58343;573;2;2384,07;286,09;12;2097,98
SO58343;214;3;34,99;6,65;19;28,34
SO58344;384;1;1120,49;459,4;41;661,09
SO58344;529;1;3,99;0,52;13;3,47
SO58344;539;1;24,99;11,5;46;13,49
SO58344;471;3;63,5;5,72;9;57,78
SO58345;386;3;1120,49;336,15;30;784,34
SO58345;222;2;34,99;1,4;4;33,59
SO58346;584;1;539,99;86,4;16;453,59
SO58346;538;3;21,49;5,8;27;15,69
SO58346;529;1;3,99;1,6;40;2,39
SO58346;214;2;34,99;12,6;36;22,39
SO58347;604;2;539,99;118,8;22;421,19
SO58348;574;1;2384,07;238,41;10;2145,66
SO58348;479;2;8,99;3,96;44;5,03
SO58348;477;3;4,99;0,9;18;4,09
SO58348;214;1;34,99;10,85;31;24,14
SO58349;565;1;742,35;74,24;10;668,11
SO58349;541;2;28,99;2,03;7;26,96
SO58349;530;2;4,99;0,4;8;4,59
SO58349;480;2;2,29;0,62;27;1,67
SO58350;390;1;1120,49;33,61;3;1086,88
SO58351;382;3;1120,49;56,02;5;1064,47
SO58352;363;1;2294,99;688,5;30;1606,49
SO58352;222;1;34,99;16,1;46;18,89
SO58353;361;1;2294,99;413,1;18;1881,89
SO58353;537;2;35;2,1;6;32,9
SO58354;477;2;4,99;0,2;4;4,79
SO58354;479;2;8,99;0,18;2;8,81
SO58354;222;2;34,99;13,65;39;21,34
SO58355;476;2;69,99;4,2;6;65,79
SO58356;530;2;4,99;1;20;3,99
SO58356;217;2;34,99;0,35;1;34,64
SO58357;581;2;1700,99;272,16;16;1428,83
SO58357;482;2;8,99;0,63;7;8,36
SO58357;231;1;49,99;12;24;37,99
SO58358;583;3;1700,99;119,07;7;1581,92
SO58358;214;2;34,99;16,45;47;18,54
SO58359;582;3;1700,99;561,33;33;1139,66
SO58359;217;2;34,99;8,05;23;26,94
SO58360;592;2;564,99;67,8;12;497,19
SO58360;485;2;21,98;10,33;47;11,65
SO58360;478;3;9,99;1,4;14;8,59
SO58360;477;2;4,99;2,05;41;2,94
SO58360;214;2;34,99;13,3;38;21,69
SO58361;376;3;2443,35;97,73;4;2345,62
SO58361;225;1;8,99;1,17;13;7,82
SO58361;217;2;34,99;14;40;20,99
SO58362;588;2;769,49;192,37;25;577,12
SO58362;231;2;49,99;16;32;33,99
SO58363;480;1;2,29;0,37;16;1,92
SO58364;539;1;24,99;11,75;47;13,24
SO58364;529;1;3,99;1,48;37;2,51
SO58364;484;2;7,95;1,03;13;6,92
SO58365;539;3;24,99;8,5;34;16,49
SO58365;529;2;3,99;0,04;1;3,95
SO58365;222;2;34,99;1,75;5;33,24
SO58365;465;2;24,49;8,57;35;15,92
SO58366;529;2;3,99;0,04;1;3,95
SO58366;480;1;2,29;0,21;9;2,08
SO58366;484;3;7,95;1,19;15;6,76
SO58367;529;2;3,99;1,84;46;2,15
SO58367;538;2;21,49;7,95;37;13,54
SO58367;480;2;2,29;0,44;19;1,85
SO58368;535;2;24,99;11,75;47;13,24
SO58368;480;2;2,29;0,11;5;2,18
SO58369;540;3;32,6;5,87;18;26,73
SO58370;540;2;32,6;6,52;20;26,08
SO58370;529;3;3,99;1,64;41;2,35
SO58370;480;1;2,29;0,85;37;1,44
SO58371;528;3;4,99;2,25;45;2,74
SO58371;536;3;29,99;13,2;44;16,79
SO58371;477;3;4,99;1,7;34;3,29
SO58371;478;2;9,99;3;30;6,99
SO58372;528;2;4,99;1,9;38;3,09
SO58372;536;3;29,99;4,5;15;25,49
SO58372;214;3;34,99;12,95;37;22,04
SO58373;536;2;29,99;8,7;29;21,29
SO58373;528;1;4,99;0,8;16;4,19
SO58373;485;2;21,98;7,25;33;14,73
SO58373;478;2;9,99;4,3;43;5,69
SO58373;477;2;4,99;1,8;36;3,19
SO58373;217;1;34,99;15,4;44;19,59
SO58374;536;2;29,99;3,3;11;26,69
SO58374;482;3;8,99;4,14;46;4,85
SO58375;536;2;29,99;5,1;17;24,89
SO58375;528;3;4,99;0,15;3;4,84
SO58375;484;1;7,95;2,31;29;5,64
SO58376;475;3;69,99;4,2;6;65,79
SO58377;477;2;4,99;1,6;32;3,39
SO58377;487;2;54,99;6,6;12;48,39
SO58378;474;2;69,99;14;20;55,99
SO58379;477;2;4,99;0,35;7;4,64
SO58379;463;2;24,49;0,49;2;24
SO58380;528;2;4,99;1,75;35;3,24
SO58380;480;1;2,29;0,71;31;1,58
SO58381;528;2;4,99;1,35;27;3,64
SO58381;485;2;21,98;10,77;49;11,21
SO58381;471;3;63,5;7,62;12;55,88
SO58382;528;1;4,99;1,8;36;3,19
SO58382;480;2;2,29;0,21;9;2,08
SO58383;528;3;4,99;0,45;9;4,54
SO58383;483;3;120;60;50;60
SO58384;472;3;63,5;23,5;37;40
SO58384;528;3;4,99;0,2;4;4,79
SO58385;539;1;24,99;7;28;17,99
SO58385;529;2;3,99;1,92;48;2,07
SO58385;222;1;34,99;5,6;16;29,39
SO58386;529;3;3,99;0,04;1;3,95
SO58386;539;2;24,99;8,5;34;16,49
SO58386;214;2;34,99;7,7;22;27,29
SO58386;237;3;49,99;14;28;35,99
SO58386;467;2;24,49;10,78;44;13,71
SO58387;477;2;4,99;1,75;35;3,24
SO58387;484;2;7,95;0,56;7;7,39
SO58388;477;2;4,99;1,35;27;3,64
SO58388;214;2;34,99;7,35;21;27,64
SO58389;530;3;4,99;0,75;15;4,24
SO58389;231;1;49,99;13;26;36,99
SO58390;537;1;35;8,75;25;26,25
SO58390;485;1;21,98;9,67;44;12,31
SO58390;214;2;34,99;3,5;10;31,49
SO58391;592;2;564,99;22,6;4;542,39
SO58391;535;3;24,99;8;32;16,99
SO58391;528;2;4,99;0,45;9;4,54
SO58391;480;2;2,29;0,41;18;1,88
SO58391;484;2;7,95;3,66;46;4,29
SO58392;583;2;1700,99;34,02;2;1666,97
SO58393;582;1;1700,99;187,11;11;1513,88
SO58393;465;3;24,49;0,98;4;23,51
SO58393;222;1;34,99;2,8;8;32,19
SO58394;581;2;1700,99;102,06;6;1598,93
SO58395;595;2;564,99;282,5;50;282,49
SO58395;478;3;9,99;3,7;37;6,29
SO58395;477;2;4,99;0,5;10;4,49
SO58395;214;3;34,99;3,15;9;31,84
SO58396;357;3;2319,99;348;15;1971,99
SO58396;485;3;21,98;2,64;12;19,34
SO58396;477;2;4,99;1,9;38;3,09
SO58396;478;1;9,99;5;50;4,99
SO58396;222;1;34,99;16,8;48;18,19
SO58397;363;1;2294,99;1055,7;46;1239,29
SO58398;357;1;2319,99;626,4;27;1693,59
SO58398;537;2;35;5,6;16;29,4
SO58398;485;2;21,98;7,25;33;14,73
SO58398;222;2;34,99;5,95;17;29,04
SO58398;488;2;53,99;11,34;21;42,65
SO58399;378;2;2443,35;806,31;33;1637,04
SO58399;477;3;4,99;1;20;3,99
SO58399;479;3;8,99;0,54;6;8,45
SO58399;489;1;53,99;19,98;37;34,01
SO58399;225;3;8,99;1,98;22;7,01
SO58400;584;2;539,99;145,8;27;394,19
SO58400;479;2;8,99;0,72;8;8,27
SO58400;477;2;4,99;1,15;23;3,84
SO58400;222;1;34,99;1,4;4;33,59
SO58401;606;1;539,99;243;45;296,99
SO58401;481;3;8,99;0,81;9;8,18
SO58402;562;2;2384,07;977,47;41;1406,6
SO58402;482;2;8,99;0,54;6;8,45
SO58403;576;2;2384,07;214,57;9;2169,5
SO58403;217;1;34,99;2,45;7;32,54
SO58404;355;2;2319,99;510,4;22;1809,59
SO58404;478;3;9,99;3,7;37;6,29
SO58404;477;2;4,99;2;40;2,99
SO58404;490;2;53,99;19,98;37;34,01
SO58405;361;2;2294,99;1147,5;50;1147,49
SO58405;487;2;54,99;13,2;24;41,79
SO58406;372;2;2443,35;757,44;31;1685,91
SO58406;540;1;32,6;11,74;36;20,86
SO58406;529;3;3,99;1,16;29;2,83
SO58406;214;2;34,99;13,65;39;21,34
SO58407;353;2;2319,99;371,2;16;1948,79
SO58407;485;2;21,98;3,74;17;18,24
SO58408;357;1;2319,99;46,4;2;2273,59
SO58408;485;3;21,98;5,93;27;16,05
SO58408;478;2;9,99;5;50;4,99
SO58408;477;1;4,99;2,1;42;2,89
SO58408;489;1;53,99;16,74;31;37,25
SO58409;563;1;2384,07;143,04;6;2241,03
SO58409;225;2;8,99;4,05;45;4,94
SO58409;490;3;53,99;4,86;9;49,13
SO58410;390;2;1120,49;246,51;22;873,98
SO58410;222;2;34,99;11,2;32;23,79
SO58411;386;2;1120,49;33,61;3;1086,88
SO58411;225;3;8,99;2,97;33;6,02
SO58411;214;2;34,99;13,65;39;21,34
SO58412;606;3;539,99;59,4;11;480,59
SO58413;605;2;539,99;156,6;29;383,39
SO58413;479;2;8,99;3,69;41;5,3
SO58413;477;2;4,99;1,45;29;3,54
SO58413;217;2;34,99;3,85;11;31,14
SO58414;566;3;742,35;200,43;27;541,92
SO58414;482;2;8,99;3,06;34;5,93
SO58415;353;2;2319,99;672,8;29;1647,19
SO58415;528;2;4,99;2;40;2,99
SO58415;537;2;35;16,8;48;18,2
SO58416;361;3;2294,99;481,95;21;1813,04
SO58416;478;3;9,99;4,5;45;5,49
SO58416;477;2;4,99;0,2;4;4,79
SO58416;481;2;8,99;1,71;19;7,28
SO58417;484;3;7,95;2,54;32;5,41
SO58418;217;3;34,99;10,85;31;24,14
SO58419;485;2;21,98;0,44;2;21,54
SO58419;487;2;54,99;18,7;34;36,29
SO58420;529;2;3,99;1,24;31;2,75
SO58420;538;1;21,49;4,73;22;16,76
SO58420;214;2;34,99;2,1;6;32,89
SO58421;529;2;3,99;0,96;24;3,03
SO58421;487;3;54,99;2,2;4;52,79
SO58422;530;1;4,99;0,35;7;4,64
SO58422;479;2;8,99;0,18;2;8,81
SO58422;477;3;4,99;1,85;37;3,14
SO58422;488;1;53,99;10,8;20;43,19
SO58422;463;2;24,49;3,43;14;21,06
SO58423;580;2;1700,99;697,41;41;1003,58
SO58423;217;3;34,99;7,7;22;27,29
SO58424;480;2;2,29;0,3;13;1,99
SO58425;535;1;24,99;0,25;1;24,74
SO58425;528;1;4,99;0,9;18;4,09
SO58425;480;1;2,29;0,27;12;2,02
SO58426;530;2;4,99;2;40;2,99
SO58427;538;1;21,49;9,67;45;11,82
SO58427;480;3;2,29;1,08;47;1,21
SO58428;529;2;3,99;1,4;35;2,59
SO58428;538;2;21,49;10,75;50;10,74
SO58429;528;1;4,99;2,05;41;2,94
SO58429;535;1;24,99;4,5;18;20,49
SO58430;535;1;24,99;1;4;23,99
SO58431;529;1;3,99;0,96;24;3,03
SO58431;540;3;32,6;0,65;2;31,95
SO58431;214;3;34,99;8,75;25;26,24
SO58432;536;1;29,99;1,8;6;28,19
SO58432;480;3;2,29;0,44;19;1,85
SO58433;540;2;32,6;9,13;28;23,47
SO58433;529;2;3,99;1,28;32;2,71
SO58433;480;2;2,29;0,16;7;2,13
SO58434;481;3;8,99;0,18;2;8,81
SO58434;536;1;29,99;4,8;16;25,19
SO58435;478;3;9,99;2,1;21;7,89
SO58435;477;2;4,99;1,4;28;3,59
SO58435;234;2;49,99;17,5;35;32,49
SO58436;477;1;4,99;0,95;19;4,04
SO58436;478;1;9,99;0,2;2;9,79
SO58436;487;2;54,99;12,65;23;42,34
SO58437;476;2;69,99;2,1;3;67,89
SO58437;467;1;24,49;1,22;5;23,27
SO58438;478;3;9,99;1,6;16;8,39
SO58438;477;2;4,99;0,4;8;4,59
SO58438;225;1;8,99;2,07;23;6,92
SO58439;477;2;4,99;0,9;18;4,09
SO58439;478;2;9,99;0,6;6;9,39
SO58440;477;3;4,99;0,85;17;4,14
SO58441;476;1;69,99;2,1;3;67,89
SO58441;231;1;49,99;1;2;48,99
SO58442;477;2;4,99;1,35;27;3,64
SO58442;484;2;7,95;1,59;20;6,36
SO58443;528;1;4,99;2,35;47;2,64
SO58443;480;2;2,29;0,05;2;2,24
SO58443;484;2;7,95;2,46;31;5,49
SO58444;529;2;3,99;1,2;30;2,79
SO58444;539;2;24,99;5,75;23;19,24
SO58444;473;2;63,5;9,53;15;53,97
SO58445;485;3;21,98;0,44;2;21,54
SO58445;489;2;53,99;1,62;3;52,37
SO58446;490;2;53,99;12,96;24;41,03
SO58447;536;2;29,99;7,8;26;22,19
SO58448;490;2;53,99;7,02;13;46,97
SO58449;541;3;28,99;5,8;20;23,19
SO58449;530;2;4,99;0,55;11;4,44
SO58449;217;2;34,99;15,75;45;19,24
SO58450;478;2;9,99;0,7;7;9,29
SO58450;487;3;54,99;24,75;45;30,24
SO58451;580;3;1700,99;340,2;20;1360,79
SO58451;214;1;34,99;5,95;17;29,04
SO58452;582;3;1700,99;765,45;45;935,54
SO58452;477;2;4,99;1,5;30;3,49
SO58452;479;3;8,99;0,54;6;8,45
SO58452;473;2;63,5;16,51;26;46,99
SO58453;581;1;1700,99;68,04;4;1632,95
SO58453;214;2;34,99;8,4;24;26,59
SO58454;581;2;1700,99;680,4;40;1020,59
SO58454;488;2;53,99;7,02;13;46,97
SO58455;361;3;2294,99;550,8;24;1744,19
SO58455;485;3;21,98;10,11;46;11,87
SO58456;361;1;2294,99;872,1;38;1422,89
SO58456;528;3;4,99;0,2;4;4,79
SO58456;537;2;35;7,35;21;27,65
SO58456;480;2;2,29;0,48;21;1,81
SO58457;560;3;1214,85;461,64;38;753,21
SO58458;589;2;769,49;338,58;44;430,91
SO58458;476;3;69,99;35;50;34,99
SO58459;604;2;539,99;102,6;19;437,39
SO58459;479;2;8,99;1,44;16;7,55
SO58459;477;1;4,99;1,6;32;3,39
SO58459;480;2;2,29;0,27;12;2,02
SO58460;355;3;2319,99;301,6;13;2018,39
SO58461;361;3;2294,99;1055,7;46;1239,29
SO58461;485;1;21,98;3,74;17;18,24
SO58462;363;2;2294,99;734,4;32;1560,59
SO58462;537;3;35;2,45;7;32,55
SO58463;566;1;742,35;14,85;2;727,5
SO58463;479;2;8,99;2,97;33;6,02
SO58463;477;2;4,99;0,55;11;4,44
SO58464;579;3;1214,85;449,49;37;765,36
SO58464;222;3;34,99;4,55;13;30,44
SO58465;575;2;2384,07;95,36;4;2288,71
SO58466;563;1;2384,07;1168,19;49;1215,88
SO58466;214;3;34,99;2,1;6;32,89
SO58467;578;1;1214,85;352,31;29;862,54
SO58467;222;3;34,99;1,75;5;33,24
SO58468;566;2;742,35;244,98;33;497,37
SO58468;477;1;4,99;0,4;8;4,59
SO58468;479;2;8,99;0,45;5;8,54
SO58468;225;2;8,99;1,53;17;7,46
SO58469;353;1;2319,99;348;15;1971,99
SO58469;485;2;21,98;0,22;1;21,76
SO58469;480;3;2,29;1,12;49;1,17
SO58470;359;2;2294,99;298,35;13;1996,64
SO58470;478;1;9,99;3,2;32;6,79
SO58470;477;1;4,99;1,15;23;3,84
SO58470;491;2;53,99;11,34;21;42,65
SO58470;463;2;24,49;4,65;19;19,84
SO58471;357;1;2319,99;835,2;36;1484,79
SO58471;485;2;21,98;1,1;5;20,88
SO58471;217;2;34,99;1,4;4;33,59
SO58472;363;2;2294,99;367,2;16;1927,79
SO58472;485;2;21,98;10,55;48;11,43
SO58473;359;2;2294,99;986,85;43;1308,14
SO58473;478;1;9,99;3,8;38;6,19
SO58474;357;3;2319,99;440,8;19;1879,19
SO58474;478;2;9,99;2,7;27;7,29
SO58474;477;2;4,99;1,6;32;3,39
SO58475;484;1;7,95;3,58;45;4,37
SO58476;535;2;24,99;3,5;14;21,49
SO58477;539;2;24,99;11,75;47;13,24
SO58478;536;2;29,99;9,6;32;20,39
SO58478;528;3;4,99;1,5;30;3,49
SO58478;214;2;34,99;16,1;46;18,89
SO58479;529;2;3,99;1,04;26;2,95
SO58479;538;1;21,49;2,15;10;19,34
SO58479;217;1;34,99;14;40;20,99
SO58480;529;2;3,99;0,68;17;3,31
SO58480;538;1;21,49;8,6;40;12,89
SO58481;530;3;4,99;2,25;45;2,74
SO58481;480;2;2,29;0,57;25;1,72
SO58482;214;2;34,99;11,9;34;23,09
SO58483;541;1;28,99;12,47;43;16,52
SO58484;488;1;53,99;20,52;38;33,47
SO58484;225;2;8,99;0,18;2;8,81
SO58485;580;2;1700,99;697,41;41;1003,58
SO58485;234;2;49,99;22,5;45;27,49
SO58485;225;2;8,99;2,16;24;6,83
SO58486;374;2;2443,35;1075,07;44;1368,28
SO58486;540;1;32,6;10,76;33;21,84
SO58486;480;2;2,29;0,57;25;1,72
SO58487;590;1;769,49;100,03;13;669,46
SO58487;234;2;49,99;15;30;34,99
SO58487;225;2;8,99;3,33;37;5,66
SO58488;539;2;24,99;7,75;31;17,24
SO58488;529;2;3,99;1,92;48;2,07
SO58488;480;2;2,29;1,05;46;1,24
SO58488;484;3;7,95;3,02;38;4,93
SO58489;214;3;34,99;11,2;32;23,79
SO58490;539;2;24,99;4;16;20,99
SO58490;231;2;49,99;3;6;46,99
SO58491;529;2;3,99;0,08;2;3,91
SO58491;538;2;21,49;10,1;47;11,39
SO58492;480;2;2,29;0,92;40;1,37
SO58492;486;2;159;66,78;42;92,22
SO58493;541;3;28,99;10,44;36;18,55
SO58493;530;2;4,99;2,2;44;2,79
SO58493;222;1;34,99;5,25;15;29,74
SO58493;463;1;24,49;3,67;15;20,82
SO58494;535;2;24,99;6;24;18,99
SO58494;480;2;2,29;0,71;31;1,58
SO58495;540;2;32,6;11,74;36;20,86
SO58495;529;3;3,99;1,16;29;2,83
SO58495;480;2;2,29;0,5;22;1,79
SO58496;535;2;24,99;1,25;5;23,74
SO58496;528;3;4,99;0,7;14;4,29
SO58496;480;3;2,29;1,08;47;1,21
SO58497;536;2;29,99;12,9;43;17,09
SO58497;528;2;4,99;1,75;35;3,24
SO58497;480;1;2,29;0,25;11;2,04
SO58497;483;2;120;39,6;33;80,4
SO58498;540;2;32,6;9,78;30;22,82
SO58498;529;2;3,99;1,36;34;2,63
SO58498;217;1;34,99;8,4;24;26,59
