ORDERKEY;ORDERDATE;DELIVERYDATE;CUSTOMERKEY;CHANNELKEY;PAYMENTMETHODKEY;DELIVERYMETHODKEY;COUNTRYKEY;DELIVERYCOST;ORDERSTATUSKEY
SO48863;09-01-2019;16-01-2019;26718;1;3;2;4;5,24;4
SO48864;09-01-2019;16-01-2019;13964;1;3;1;9;9,22;4
SO48865;09-01-2019;16-01-2019;24924;2;3;4;6;9,88;4
SO48866;09-01-2019;16-01-2019;13527;2;4;3;6;4,1;4
SO48867;10-01-2019;17-01-2019;15451;1;2;2;9;1,33;4
SO48868;10-01-2019;17-01-2019;19320;2;4;1;10;6,58;4
SO48869;10-01-2019;17-01-2019;23314;2;3;3;7;7,02;4
SO48870;10-01-2019;17-01-2019;23316;1;2;2;9;6,58;4
SO48871;10-01-2019;17-01-2019;20736;1;4;4;7;4,82;4
SO48872;10-01-2019;17-01-2019;15483;2;2;2;4;3,01;4
SO48873;10-01-2019;17-01-2019;15499;1;4;1;1;8,32;4
SO48874;10-01-2019;17-01-2019;13970;2;4;1;10;8,39;4
SO48875;10-01-2019;17-01-2019;24922;2;3;2;10;4,05;4
SO48876;10-01-2019;17-01-2019;26588;1;2;4;9;3,32;4
SO48877;10-01-2019;17-01-2019;26657;2;2;3;7;4,52;4
SO48878;11-01-2019;18-01-2019;17715;1;2;3;3;9,11;4
SO48879;11-01-2019;18-01-2019;12526;1;4;2;7;9,36;4
SO48880;11-01-2019;18-01-2019;13746;1;1;1;4;8,95;4
SO48881;11-01-2019;18-01-2019;23324;2;1;3;9;0;4
SO48882;11-01-2019;18-01-2019;26801;1;4;1;4;2,21;4
SO48883;11-01-2019;18-01-2019;13528;1;2;4;10;4,34;4
SO48884;11-01-2019;18-01-2019;24921;1;1;3;3;2,26;4
SO48885;12-01-2019;19-01-2019;17755;2;2;4;6;3,08;4
SO48886;12-01-2019;19-01-2019;12473;1;3;4;6;6,61;4
SO48887;12-01-2019;19-01-2019;26811;2;3;3;4;8,58;4
SO48888;12-01-2019;19-01-2019;15482;1;1;2;4;5,49;4
SO48889;12-01-2019;19-01-2019;26711;1;1;1;4;2,62;4
SO48890;12-01-2019;19-01-2019;13618;1;3;1;10;1,69;4
SO48891;12-01-2019;19-01-2019;13650;2;4;4;3;9,99;4
SO48892;13-01-2019;20-01-2019;17714;2;4;1;8;0;4
SO48893;13-01-2019;20-01-2019;17772;2;4;4;7;8,59;4
SO48894;13-01-2019;20-01-2019;19034;2;2;2;6;4,19;4
SO48895;13-01-2019;20-01-2019;19418;2;1;1;8;5,46;4
SO48896;13-01-2019;20-01-2019;17632;1;4;4;9;1,14;4
SO48897;13-01-2019;20-01-2019;16540;1;4;2;7;9,28;4
SO48898;13-01-2019;20-01-2019;13856;1;4;3;4;1,48;4
SO48899;13-01-2019;20-01-2019;23313;2;4;2;9;3,71;4
SO48900;13-01-2019;20-01-2019;26734;1;2;3;1;0;4
SO48901;13-01-2019;20-01-2019;13960;2;2;1;6;9,6;4
SO48902;13-01-2019;20-01-2019;13966;2;1;2;10;7,44;4
SO48903;13-01-2019;20-01-2019;26653;2;2;2;10;9,79;4
SO48904;14-01-2019;21-01-2019;12492;1;4;3;7;3,25;4
SO48905;14-01-2019;21-01-2019;26814;2;3;4;1;6,23;4
SO48906;14-01-2019;21-01-2019;26705;2;1;2;4;2,84;4
SO48907;14-01-2019;21-01-2019;26727;2;4;4;1;9,77;4
SO48908;14-01-2019;21-01-2019;13626;1;4;3;6;3,92;4
SO48909;14-01-2019;21-01-2019;13953;1;2;2;7;1,57;4
SO48910;15-01-2019;22-01-2019;16587;1;3;3;6;5,2;4
SO48911;15-01-2019;22-01-2019;20880;1;1;1;10;1,89;4
SO48912;15-01-2019;22-01-2019;20841;1;3;2;3;2,27;4
SO48913;15-01-2019;22-01-2019;23412;1;2;3;3;9,97;4
SO48914;15-01-2019;22-01-2019;26735;1;4;2;1;3,65;4
SO48915;15-01-2019;22-01-2019;15481;2;2;1;4;0;4
SO48916;15-01-2019;22-01-2019;13616;1;1;3;10;9,42;4
SO48917;15-01-2019;22-01-2019;13636;1;2;1;7;5,04;4
SO48918;15-01-2019;22-01-2019;13638;2;1;2;9;4,36;4
SO48919;15-01-2019;22-01-2019;26658;2;3;4;6;4,72;4
SO48920;16-01-2019;23-01-2019;12275;2;3;3;6;6,58;4
SO48921;16-01-2019;23-01-2019;12560;2;2;2;8;1,8;4
SO48922;16-01-2019;23-01-2019;15095;2;2;4;9;4,38;4
SO48923;16-01-2019;23-01-2019;14298;2;1;2;4;3,72;4
SO48924;16-01-2019;23-01-2019;26040;1;2;2;8;9,68;4
SO48925;16-01-2019;23-01-2019;15480;1;3;1;4;9,99;4
SO48926;16-01-2019;23-01-2019;23117;2;3;4;9;9,71;4
SO48927;16-01-2019;23-01-2019;26703;2;1;1;1;1,98;4
SO48928;16-01-2019;23-01-2019;15502;2;1;2;1;1,88;4
SO48929;16-01-2019;23-01-2019;13526;1;1;2;9;9,41;4
SO48930;16-01-2019;23-01-2019;15086;1;2;3;2;3,54;4
SO48931;17-01-2019;24-01-2019;19382;2;3;1;2;6,98;4
SO48932;17-01-2019;24-01-2019;14297;2;3;4;4;7,16;4
SO48933;17-01-2019;24-01-2019;26694;2;4;1;1;6,01;4
SO48934;17-01-2019;24-01-2019;26710;1;1;3;4;0;4
SO48935;17-01-2019;24-01-2019;15518;2;1;1;4;1,43;4
SO48936;17-01-2019;24-01-2019;13644;2;2;4;2;7,9;4
SO48937;17-01-2019;24-01-2019;13529;2;3;1;6;5,13;4
SO48938;18-01-2019;25-01-2019;17720;1;3;4;3;7,77;4
SO48939;18-01-2019;25-01-2019;15462;2;1;4;3;9,22;4
SO48940;18-01-2019;25-01-2019;20835;1;4;2;9;4,8;4
SO48941;18-01-2019;25-01-2019;26013;1;3;4;9;5,21;4
SO48795;01-01-2019;08-01-2019;16538;1;1;4;10;0;4
SO48796;01-01-2019;08-01-2019;15094;2;2;1;10;7,45;4
SO48797;01-01-2019;08-01-2019;14335;2;2;2;1;8,29;4
SO48798;01-01-2019;08-01-2019;23332;2;1;4;9;7,46;4
SO48799;01-01-2019;08-01-2019;26708;1;4;2;4;9,42;4
SO48800;01-01-2019;08-01-2019;15491;1;2;3;5;8,06;4
SO48801;01-01-2019;08-01-2019;15493;2;2;4;1;5,74;4
SO48802;01-01-2019;08-01-2019;24923;2;2;3;2;1,38;4
SO48803;02-01-2019;09-01-2019;19416;1;1;4;7;2,91;4
SO48804;02-01-2019;09-01-2019;12276;1;4;4;6;1,99;4
SO48942;18-01-2019;25-01-2019;26728;2;4;3;4;4,2;4
SO61322;02-01-2020;09-01-2020;12371;2;2;4;8;8,27;4
SO74733;19-07-2020;26-07-2020;21296;2;2;1;1;1,47;4
SO74734;19-07-2020;26-07-2020;19980;2;3;1;1;9,12;4
SO74735;19-07-2020;26-07-2020;18419;1;2;1;4;4,09;4
SO74736;19-07-2020;26-07-2020;11869;2;1;4;8;8,02;4
SO74737;19-07-2020;26-07-2020;16918;1;4;3;1;7,93;4
SO74738;19-07-2020;26-07-2020;19000;1;4;4;9;1,95;4
SO74739;19-07-2020;26-07-2020;13738;1;2;2;4;0;4
SO74740;19-07-2020;26-07-2020;13469;1;4;2;1;4,18;4
SO74741;19-07-2020;26-07-2020;16285;2;2;3;9;3,76;4
SO74742;19-07-2020;26-07-2020;14986;2;2;1;8;3,87;4
SO74743;19-07-2020;26-07-2020;15111;2;4;3;6;7,07;4
SO74744;19-07-2020;26-07-2020;17774;2;4;2;10;6,51;4
SO74745;19-07-2020;26-07-2020;26844;1;1;3;9;8,16;4
SO74746;19-07-2020;26-07-2020;28439;1;1;3;3;9,76;4
SO74747;19-07-2020;26-07-2020;26396;2;4;3;6;2,4;4
SO74748;19-07-2020;26-07-2020;22706;1;3;4;8;6,12;4
SO74749;19-07-2020;26-07-2020;19486;1;4;2;7;7,98;4
SO74750;19-07-2020;26-07-2020;11190;1;4;3;4;7,1;4
SO74751;19-07-2020;26-07-2020;12055;1;3;2;8;8,3;4
SO74752;19-07-2020;26-07-2020;12456;1;4;1;1;6,55;4
SO74753;19-07-2020;26-07-2020;12943;1;2;3;4;1,89;4
SO74754;20-07-2020;27-07-2020;15594;1;2;4;8;2,42;4
SO74755;20-07-2020;27-07-2020;20428;1;1;3;2;8,72;4
SO74756;20-07-2020;27-07-2020;24479;1;1;4;9;2,64;4
SO74757;20-07-2020;27-07-2020;25237;1;1;2;7;0;4
SO74758;20-07-2020;27-07-2020;13040;1;4;3;9;2,82;4
SO74759;20-07-2020;27-07-2020;11212;2;3;2;6;1,02;4
SO74760;20-07-2020;27-07-2020;28024;2;2;3;4;5,2;4
SO74761;20-07-2020;27-07-2020;26336;2;3;4;4;1,01;4
SO74762;20-07-2020;27-07-2020;15197;2;1;3;10;2,01;4
SO74763;20-07-2020;27-07-2020;24964;2;2;4;1;9,55;4
SO74764;20-07-2020;27-07-2020;23285;2;3;3;1;1,61;4
SO74765;20-07-2020;27-07-2020;20688;1;1;3;1;5,25;4
SO74766;20-07-2020;27-07-2020;20772;2;1;1;4;8,8;4
SO74767;20-07-2020;27-07-2020;17378;2;4;4;1;1,37;4
SO74768;20-07-2020;27-07-2020;19872;1;2;4;9;5,58;4
SO74769;20-07-2020;27-07-2020;15749;1;2;1;1;6,52;4
SO74770;20-07-2020;27-07-2020;22217;2;1;3;9;3,78;4
SO74771;20-07-2020;27-07-2020;14977;1;1;4;10;6,51;4
SO74772;20-07-2020;27-07-2020;21066;2;3;4;8;7,73;4
SO74773;20-07-2020;27-07-2020;23767;1;3;3;9;8,99;4
SO74774;20-07-2020;27-07-2020;19915;1;3;2;8;2,02;4
SO74775;20-07-2020;27-07-2020;14143;2;4;3;3;3,9;4
SO74776;20-07-2020;27-07-2020;25654;2;3;2;10;7,2;4
SO74777;20-07-2020;27-07-2020;22682;2;1;4;8;1,3;4
SO74778;20-07-2020;27-07-2020;11228;2;4;3;4;9,63;4
SO74779;20-07-2020;27-07-2020;11870;1;4;1;1;5,37;4
SO74780;20-07-2020;27-07-2020;12961;2;1;2;1;5,61;4
SO74781;20-07-2020;27-07-2020;13033;2;3;4;4;1,04;4
SO74782;20-07-2020;27-07-2020;12233;1;2;2;10;8,92;4
SO74783;20-07-2020;27-07-2020;12551;2;2;1;9;0;4
SO74784;21-07-2020;28-07-2020;11276;1;1;3;10;3,83;4
SO74785;21-07-2020;28-07-2020;11874;2;4;4;4;9,9;4
SO74786;21-07-2020;28-07-2020;13669;1;3;3;7;0;4
SO74787;21-07-2020;28-07-2020;19573;1;2;2;7;2,81;4
SO74788;21-07-2020;28-07-2020;23642;2;3;4;10;3,83;4
SO74789;21-07-2020;28-07-2020;14056;2;4;2;2;4,86;4
SO74790;21-07-2020;28-07-2020;17282;2;1;3;9;2,91;4
SO74791;21-07-2020;28-07-2020;17311;2;1;3;7;0;4
SO74792;21-07-2020;28-07-2020;11692;2;3;2;4;1,7;4
SO74793;21-07-2020;28-07-2020;11501;2;3;4;9;0;4
SO74794;21-07-2020;28-07-2020;11636;2;4;3;4;2,48;4
SO74795;21-07-2020;28-07-2020;11458;1;3;2;8;8,79;4
SO74796;21-07-2020;28-07-2020;27032;1;4;4;4;1,76;4
SO74797;21-07-2020;28-07-2020;24823;1;4;2;4;3,36;4
SO74798;21-07-2020;28-07-2020;23467;2;3;1;1;5,92;4
SO74799;21-07-2020;28-07-2020;12077;2;1;1;9;7,04;4
SO74800;21-07-2020;28-07-2020;13701;1;1;2;8;5,28;4
SO74801;21-07-2020;28-07-2020;11740;1;2;1;7;5,96;4
SO74802;21-07-2020;28-07-2020;18499;2;3;2;1;2,47;4
SO74803;21-07-2020;28-07-2020;28346;2;4;3;9;1,96;4
SO74804;21-07-2020;28-07-2020;18920;1;4;2;4;2,91;4
SO74805;21-07-2020;28-07-2020;21238;2;2;2;3;4,95;4
SO74806;21-07-2020;28-07-2020;19063;1;3;1;9;8,11;4
SO74807;21-07-2020;28-07-2020;17881;1;2;2;3;8,8;4
SO74808;21-07-2020;28-07-2020;15760;1;4;4;8;8,82;4
SO74809;21-07-2020;28-07-2020;12443;1;2;4;4;8,37;4
SO74810;21-07-2020;28-07-2020;12334;1;1;3;6;1,42;4
SO74811;22-07-2020;29-07-2020;20455;2;2;1;3;3,13;4
SO74812;22-07-2020;29-07-2020;21362;2;2;4;6;9,1;4
SO74813;22-07-2020;29-07-2020;24593;1;2;2;9;6,67;4
SO74814;22-07-2020;29-07-2020;11680;1;1;4;1;2,25;4
SO74815;22-07-2020;29-07-2020;26787;1;4;3;1;2,11;4
SO74816;22-07-2020;29-07-2020;26613;2;2;2;4;4,59;4
SO74817;22-07-2020;29-07-2020;18317;1;4;2;7;8,33;4
SO74818;22-07-2020;29-07-2020;13860;2;4;4;9;4,73;4
SO74819;22-07-2020;29-07-2020;25763;1;4;3;1;7,34;4
SO74820;22-07-2020;29-07-2020;18749;1;2;1;8;4,42;4
SO74821;22-07-2020;29-07-2020;21301;2;3;1;1;8,46;4
SO74822;22-07-2020;29-07-2020;11520;1;1;4;9;8,53;4
SO74823;22-07-2020;29-07-2020;18965;2;3;4;4;0;4
SO74824;22-07-2020;29-07-2020;12097;1;4;4;8;6,92;4
SO74825;22-07-2020;29-07-2020;27191;1;1;1;3;1,41;4
SO74826;22-07-2020;29-07-2020;16962;1;1;3;4;5,67;4
SO74827;22-07-2020;29-07-2020;15383;1;2;1;4;1,14;4
SO74828;22-07-2020;29-07-2020;17708;2;3;1;6;7,67;4
SO74829;22-07-2020;29-07-2020;15074;1;2;3;8;4,71;4
SO74830;22-07-2020;29-07-2020;15113;1;1;1;10;4,22;4
SO74831;22-07-2020;29-07-2020;17719;1;4;1;8;1,84;4
SO74832;22-07-2020;29-07-2020;23631;2;2;4;9;5,19;4
SO74833;22-07-2020;29-07-2020;19491;2;1;2;8;9,79;4
SO74834;22-07-2020;29-07-2020;20899;2;2;2;6;7,54;4
SO74835;22-07-2020;29-07-2020;26415;2;4;3;3;0;4
SO74836;22-07-2020;29-07-2020;25678;2;2;2;10;2,09;4
SO74837;22-07-2020;29-07-2020;28895;2;2;4;9;9,2;4
SO74838;22-07-2020;29-07-2020;12529;2;2;2;4;4,14;4
SO74839;22-07-2020;29-07-2020;13211;2;4;4;1;8,84;4
SO74840;22-07-2020;29-07-2020;16848;1;4;1;9;3,42;4
SO74841;22-07-2020;29-07-2020;17450;2;2;4;9;0;4
SO74842;22-07-2020;29-07-2020;13604;2;1;1;6;1,51;4
SO74843;23-07-2020;30-07-2020;11137;1;1;3;1;1,77;4
SO74844;23-07-2020;30-07-2020;13617;2;3;2;10;1,79;4
SO74845;23-07-2020;30-07-2020;13140;2;3;3;9;3,7;4
SO74846;23-07-2020;30-07-2020;26374;1;3;1;8;7,42;4
SO74847;23-07-2020;30-07-2020;13962;1;1;3;8;2,92;4
SO74848;23-07-2020;30-07-2020;14057;2;3;1;9;5,1;4
SO74849;23-07-2020;30-07-2020;16030;2;4;3;3;9,81;4
SO74850;23-07-2020;30-07-2020;19104;1;4;2;6;6,54;4
SO74851;23-07-2020;30-07-2020;12034;1;2;4;10;9,89;4
SO74852;23-07-2020;30-07-2020;17381;1;2;1;10;8,3;4
SO74853;23-07-2020;30-07-2020;14086;1;2;3;8;5,13;4
SO74854;23-07-2020;30-07-2020;12008;2;1;4;9;3,75;4
SO74855;23-07-2020;30-07-2020;11200;1;1;2;6;4,36;4
SO74856;23-07-2020;30-07-2020;11507;2;4;3;2;4,97;4
SO74857;23-07-2020;30-07-2020;27538;1;4;3;1;1,08;4
SO74858;23-07-2020;30-07-2020;26008;1;1;2;4;0;4
SO74859;23-07-2020;30-07-2020;15847;1;4;1;8;4,6;4
SO74860;23-07-2020;30-07-2020;21617;1;1;1;1;8,29;4
SO74861;23-07-2020;30-07-2020;15511;1;2;4;10;1,35;4
SO74862;23-07-2020;30-07-2020;14096;1;1;1;8;7,15;4
SO74863;23-07-2020;30-07-2020;20466;2;1;4;4;6,16;4
SO74864;23-07-2020;30-07-2020;18813;2;4;3;1;6,6;4
SO74865;23-07-2020;30-07-2020;18073;1;3;3;4;9,08;4
SO74866;23-07-2020;30-07-2020;16768;1;3;4;4;1,2;4
SO74867;23-07-2020;30-07-2020;15336;2;4;1;4;6,67;4
SO74868;23-07-2020;30-07-2020;19043;2;2;4;9;9,76;4
SO74869;23-07-2020;30-07-2020;19377;1;1;4;9;8,43;4
SO74870;23-07-2020;30-07-2020;24714;1;3;1;9;0;5
SO74871;23-07-2020;30-07-2020;25296;1;3;4;3;4,59;4
SO74872;23-07-2020;30-07-2020;28435;2;1;2;6;9,45;4
SO74873;24-07-2020;31-07-2020;17253;2;4;1;2;1,51;4
SO74874;24-07-2020;31-07-2020;16635;2;3;2;9;7,65;4
SO74875;24-07-2020;31-07-2020;16730;2;1;2;3;9,97;4
SO74876;24-07-2020;31-07-2020;25137;1;2;4;8;1,8;4
SO74877;24-07-2020;31-07-2020;19752;2;1;4;2;3;4
SO74878;24-07-2020;31-07-2020;17239;2;4;3;2;5,29;4
SO74879;24-07-2020;31-07-2020;12690;1;2;2;3;4,51;4
SO74880;24-07-2020;31-07-2020;11188;1;1;1;4;8,87;4
SO74881;24-07-2020;31-07-2020;28873;2;4;1;4;3,87;4
SO74882;24-07-2020;31-07-2020;28987;2;3;2;4;7;4
SO74883;24-07-2020;31-07-2020;29219;1;3;2;4;6,38;4
SO74884;24-07-2020;31-07-2020;28277;1;1;4;1;8,54;4
SO74885;24-07-2020;31-07-2020;28262;2;3;2;1;2,7;4
SO74886;24-07-2020;31-07-2020;27741;1;4;1;1;3,52;4
SO74887;24-07-2020;31-07-2020;11711;1;3;4;9;2,44;4
SO74888;24-07-2020;31-07-2020;25932;2;2;2;1;2,44;4
SO74889;24-07-2020;31-07-2020;25004;1;1;2;1;4,74;4
SO74890;24-07-2020;31-07-2020;25187;2;3;3;1;1,91;4
SO74891;24-07-2020;31-07-2020;23037;2;1;3;1;4,58;4
SO74892;24-07-2020;31-07-2020;15826;1;4;2;9;0;4
SO74893;24-07-2020;31-07-2020;20737;2;2;3;4;8,79;4
SO74894;24-07-2020;31-07-2020;15377;1;4;3;8;3,01;4
SO74895;24-07-2020;31-07-2020;28025;2;1;4;6;3,3;4
SO74896;24-07-2020;31-07-2020;18870;1;1;4;1;3,93;4
SO74897;24-07-2020;31-07-2020;18505;1;1;1;4;8,54;4
SO74898;24-07-2020;31-07-2020;18797;1;4;1;1;7,09;4
SO74899;24-07-2020;31-07-2020;16723;1;1;2;4;2,95;4
SO74900;24-07-2020;31-07-2020;15694;1;2;3;2;9,57;4
SO74901;24-07-2020;31-07-2020;21083;1;4;4;2;1,67;4
SO74902;24-07-2020;31-07-2020;18618;2;2;2;6;0;4
SO74903;24-07-2020;31-07-2020;23610;1;1;4;8;6,61;4
SO74904;24-07-2020;31-07-2020;22802;2;4;1;10;8,57;4
SO74905;24-07-2020;31-07-2020;29471;2;2;2;2;8,32;4
SO74906;24-07-2020;31-07-2020;12871;2;4;2;9;1,9;4
SO74907;24-07-2020;31-07-2020;27328;2;3;3;3;6,96;4
SO74908;24-07-2020;31-07-2020;11013;2;3;1;1;0;4
SO74909;24-07-2020;31-07-2020;11501;2;3;3;8;6,73;4
SO74910;24-07-2020;31-07-2020;12776;1;2;2;1;6,5;4
SO74911;24-07-2020;31-07-2020;16331;2;3;3;9;2,85;4
SO74912;24-07-2020;31-07-2020;16667;2;1;2;2;3,41;4
SO74913;25-07-2020;01-08-2020;11501;2;1;3;9;3,39;4
SO74914;25-07-2020;01-08-2020;16492;2;4;4;6;4,62;4
SO74915;25-07-2020;01-08-2020;21991;1;4;2;2;3,33;4
SO74916;25-07-2020;01-08-2020;24363;2;1;1;2;1,64;4
SO74917;25-07-2020;01-08-2020;28782;2;4;1;4;8,8;4
SO74918;25-07-2020;01-08-2020;12093;1;2;3;4;7,33;4
SO74919;25-07-2020;01-08-2020;11262;1;2;3;7;9,56;4
SO74920;25-07-2020;01-08-2020;11506;1;3;2;9;9,61;4
SO74921;25-07-2020;01-08-2020;29024;2;2;3;4;5,63;4
SO74922;25-07-2020;01-08-2020;11330;1;3;4;10;8,38;4
SO74923;25-07-2020;01-08-2020;11276;2;2;1;6;6,77;4
SO74924;25-07-2020;01-08-2020;25375;1;2;1;4;4;4
SO74925;25-07-2020;01-08-2020;14341;1;2;3;3;0;4
SO74926;25-07-2020;01-08-2020;23702;1;1;4;4;4,17;4
SO74927;25-07-2020;01-08-2020;23291;2;1;2;1;6,32;4
SO74928;25-07-2020;01-08-2020;22263;2;2;4;1;3,61;4
SO74929;25-07-2020;01-08-2020;14504;2;2;2;9;3;4
SO74930;25-07-2020;01-08-2020;18939;1;2;4;4;3,97;4
SO74931;25-07-2020;01-08-2020;17589;2;2;2;1;5,88;4
SO74932;25-07-2020;01-08-2020;16922;2;2;3;1;3,34;4
SO74933;25-07-2020;01-08-2020;21531;1;4;1;10;3,9;4
SO74934;25-07-2020;01-08-2020;23931;2;3;4;3;6,98;4
SO74935;25-07-2020;01-08-2020;11209;1;3;1;4;7,67;4
SO74936;25-07-2020;01-08-2020;16721;1;2;2;6;0;4
SO74937;26-07-2020;02-08-2020;19086;2;4;4;3;0;4
SO74938;26-07-2020;02-08-2020;25232;2;3;1;2;4,64;4
SO74939;26-07-2020;02-08-2020;13005;1;3;1;10;0;4
SO74940;26-07-2020;02-08-2020;14557;2;2;4;9;5,06;4
SO74941;26-07-2020;02-08-2020;11131;1;4;4;2;7,97;4
SO74942;26-07-2020;02-08-2020;27216;2;2;2;4;6,07;4
SO74943;26-07-2020;02-08-2020;27383;2;4;2;4;5,82;4
SO74944;26-07-2020;02-08-2020;28634;2;4;1;1;7,62;4
SO74945;26-07-2020;02-08-2020;27434;2;2;2;4;3,59;4
SO74946;26-07-2020;02-08-2020;27480;1;2;4;4;0;4
SO74947;26-07-2020;02-08-2020;24686;2;1;1;4;5,65;4
SO74948;26-07-2020;02-08-2020;23684;2;3;3;4;7,68;4
SO74949;26-07-2020;02-08-2020;11823;1;4;4;9;2,62;4
SO74950;26-07-2020;02-08-2020;21757;1;1;2;1;6,45;4
SO74951;26-07-2020;02-08-2020;20784;2;2;4;4;3,39;4
SO74952;26-07-2020;02-08-2020;16506;1;2;3;9;0;4
SO74953;26-07-2020;02-08-2020;12136;2;1;4;8;5,79;4
SO74954;26-07-2020;02-08-2020;19226;1;3;2;4;4,7;4
SO74955;26-07-2020;02-08-2020;18070;2;2;3;4;6,22;4
SO74956;26-07-2020;02-08-2020;17697;2;4;1;4;6,04;4
SO74957;26-07-2020;02-08-2020;16060;2;3;3;4;9,47;4
SO74958;26-07-2020;02-08-2020;16245;2;4;4;4;3,12;4
SO74959;26-07-2020;02-08-2020;14869;1;2;3;1;2,36;4
SO74960;26-07-2020;02-08-2020;14575;1;3;4;1;0;4
SO74961;26-07-2020;02-08-2020;13731;1;4;2;4;7,85;4
SO74962;26-07-2020;02-08-2020;16443;1;4;2;10;9,69;4
SO74963;26-07-2020;02-08-2020;18159;1;3;4;8;1,92;4
SO74964;26-07-2020;02-08-2020;14962;1;1;1;8;5,96;4
SO74965;26-07-2020;02-08-2020;27831;2;3;4;2;6,1;4
SO74966;26-07-2020;02-08-2020;13707;2;1;3;6;9,14;4
SO74967;26-07-2020;02-08-2020;11786;2;1;3;1;3,37;4
