PRODUCTKEY;PRODUCTCODE;PRODUCTNAME;PRODUCTSUBCATEGORYKEY
35;GT-0820;LL Grip Tape;8
36;GT-1209;ML Grip Tape;8
37;GT-2908;HL Grip Tape;8
38;HJ-1213;Thin-Jam Hex Nut 9;8
39;HJ-1220;Thin-Jam Hex Nut 10;8
40;HJ-1420;Thin-Jam Hex Nut 1;8
41;HJ-1428;Thin-Jam Hex Nut 2;8
42;HJ-3410;Thin-Jam Hex Nut 15;8
43;HJ-3416;Thin-Jam Hex Nut 16;8
44;HJ-3816;Thin-Jam Hex Nut 5;8
45;HJ-3824;Thin-Jam Hex Nut 6;8
46;HJ-5161;Thin-Jam Hex Nut 3;8
47;HJ-5162;Thin-Jam Hex Nut 4;8
48;HJ-5811;Thin-Jam Hex Nut 13;8
49;HJ-5818;Thin-Jam Hex Nut 14;8
50;HJ-7161;Thin-Jam Hex Nut 7;8
51;HJ-7162;Thin-Jam Hex Nut 8;8
52;HJ-9080;Thin-Jam Hex Nut 12;8
53;HJ-9161;Thin-Jam Hex Nut 11;8
54;HN-1024;Hex Nut 5;8
55;HN-1032;Hex Nut 6;8
56;HN-1213;Hex Nut 16;8
57;HN-1220;Hex Nut 17;8
58;HN-1224;Hex Nut 7;8
59;HN-1420;Hex Nut 8;8
60;HN-1428;Hex Nut 9;8
61;HN-3410;Hex Nut 22;8
62;HN-3416;Hex Nut 23;8
63;HN-3816;Hex Nut 12;8
64;HN-3824;Hex Nut 13;8
65;HN-4402;Hex Nut 1;8
66;HN-5161;Hex Nut 10;8
67;HN-5162;Hex Nut 11;8
68;HN-5400;Hex Nut 2;8
69;HN-5811;Hex Nut 20;8
70;HN-5818;Hex Nut 21;8
71;HN-6320;Hex Nut 3;8
72;HN-7161;Hex Nut 14;8
73;HN-7162;Hex Nut 15;8
74;HN-8320;Hex Nut 4;8
75;HN-9161;Hex Nut 18;8
76;HN-9168;Hex Nut 19;8
77;HT-2981;Handlebar Tube;8
78;HT-8019;Head Tube;8
79;HU-6280;LL Hub;8
80;HU-8998;HL Hub;8
81;KW-4091;Keyed Washer;8
82;LE-1000;External Lock Washer 3;8
83;LE-1200;External Lock Washer 4;8
84;LE-1201;External Lock Washer 9;8
85;LE-1400;External Lock Washer 5;8
86;LE-3800;External Lock Washer 7;8
87;LE-5160;External Lock Washer 6;8
88;LE-6000;External Lock Washer 1;8
89;LE-7160;External Lock Washer 8;8
90;LE-8000;External Lock Washer 2;8
91;LI-1000;Internal Lock Washer 3;8
92;LI-1200;Internal Lock Washer 4;8
93;LI-1201;Internal Lock Washer 9;8
94;LI-1400;Internal Lock Washer 5;8
95;LI-3800;Internal Lock Washer 7;8
96;LI-5160;Internal Lock Washer 6;8
97;LI-5800;Internal Lock Washer 10;8
98;LI-6000;Internal Lock Washer 1;8
99;LI-7160;Internal Lock Washer 8;8
100;LI-8000;Internal Lock Washer 2;8
101;LJ-1213;Thin-Jam Lock Nut 9;8
102;LJ-1220;Thin-Jam Lock Nut 10;8
103;LJ-1420;Thin-Jam Lock Nut 1;8
104;LJ-1428;Thin-Jam Lock Nut 2;8
105;LJ-3410;Thin-Jam Lock Nut 15;8
106;LJ-3416;Thin-Jam Lock Nut 16;8
107;LJ-3816;Thin-Jam Lock Nut 5;8
108;LJ-3824;Thin-Jam Lock Nut 6;8
109;LJ-5161;Thin-Jam Lock Nut 3;8
110;LJ-5162;Thin-Jam Lock Nut 4;8
111;LJ-5811;Thin-Jam Lock Nut 13;8
112;LJ-5818;Thin-Jam Lock Nut 14;8
113;LJ-7161;Thin-Jam Lock Nut 7;8
114;LJ-7162;Thin-Jam Lock Nut 8;8
115;LJ-9080;Thin-Jam Lock Nut 12;8
116;LJ-9161;Thin-Jam Lock Nut 11;8
117;LN-1024;Lock Nut 5;8
118;LN-1032;Lock Nut 6;8
119;LN-1213;Lock Nut 16;8
120;LN-1220;Lock Nut 17;8
121;LN-1224;Lock Nut 7;8
122;LN-1420;Lock Nut 8;8
123;LN-1428;Lock Nut 9;8
124;LN-3410;Lock Nut 22;8
125;LN-3416;Lock Nut 23;8
126;LN-3816;Lock Nut 12;8
127;LN-3824;Lock Nut 13;8
128;LN-4400;Lock Nut 1;8
129;LN-5161;Lock Nut 10;8
130;LN-5162;Lock Nut 11;8
131;LN-5400;Lock Nut 2;8
132;LN-5811;Lock Nut 20;8
133;LN-5818;Lock Nut 21;8
134;LN-6320;Lock Nut 3;8
135;LN-7161;Lock Nut 14;8
136;LN-7162;Lock Nut 15;8
137;LN-8320;Lock Nut 4;8
138;LN-9080;Lock Nut 19;8
139;LN-9161;Lock Nut 18;8
140;LR-2398;Lock Ring;8
141;LR-8520;Lower Head Race;8
142;LW-1000;Lock Washer 4;8
143;LW-1200;Lock Washer 5;8
144;LW-1201;Lock Washer 10;8
145;LW-1400;Lock Washer 6;8
146;LW-3400;Lock Washer 13;8
147;LW-3800;Lock Washer 8;8
148;LW-4000;Lock Washer 1;8
149;LW-5160;Lock Washer 7;8
150;LW-5800;Lock Washer 12;8
151;LW-6000;Lock Washer 2;8
152;LW-7160;Lock Washer 9;8
153;LW-8000;Lock Washer 3;8
154;LW-9160;Lock Washer 11;8
155;MA-7075;Metal Angle;8
156;MB-2024;Metal Bar 1;8
157;MB-6061;Metal Bar 2;8
158;MP-2066;Metal Plate 2;8
159;MP-2503;Metal Plate 1;8
160;MP-4960;Metal Plate 3;8
161;MS-0253;Metal Sheet 2;8
162;MS-1256;Metal Sheet 3;8
163;MS-1981;Metal Sheet 7;8
164;MS-2259;Metal Sheet 4;8
165;MS-2341;Metal Sheet 5;8
166;MS-2348;Metal Sheet 6;8
167;MS-6061;Metal Sheet 1;8
168;MT-1000;Metal Tread Plate;8
169;NI-4127;LL Nipple;8
170;NI-9522;HL Nipple;8
171;PA-187B;Paint - Black;8
172;PA-361R;Paint - Red;8
173;PA-529S;Paint - Silver;8
174;PA-632U;Paint - Blue;8
175;PA-823Y;Paint - Yellow;8
176;PB-6109;Pinch Bolt;8
177;RA-2345;Cup-Shaped Race;8
178;RA-7490;Cone-Shaped Race;8
179;RF-9198;Reflector;8
180;RM-M464;LL Mountain Rim;8
181;RM-M692;ML Mountain Rim;8
182;RM-M823;HL Mountain Rim;8
183;RM-R436;LL Road Rim;8
184;RM-R600;ML Road Rim;8
185;RM-R800;HL Road Rim;8
186;RM-T801;Touring Rim;8
187;SA-M198;LL Mountain Seat Assembly;8
188;SA-M237;ML Mountain Seat Assembly;8
189;SA-M687;HL Mountain Seat Assembly;8
190;SA-R127;LL Road Seat Assembly;8
191;SA-R430;ML Road Seat Assembly;8
192;SA-R522;HL Road Seat Assembly;8
193;SA-T467;LL Touring Seat Assembly;8
194;SA-T612;ML Touring Seat Assembly;8
195;SA-T872;HL Touring Seat Assembly;8
196;SD-2342;LL Spindle/Axle;8
197;SD-9872;HL Spindle/Axle;8
198;SH-4562;LL Shell;8
199;SH-9312;HL Shell;8
200;SK-9283;Spokes;8
201;SL-0931;Seat Lug;8
202;SM-9087;Stem;8
203;SP-2981;Seat Post;8
204;SR-2098;Steerer;8
205;SS-2985;Seat Stays;8
206;ST-9828;Seat Tube;8
207;TO-2301;Top Tube;8
208;TP-0923;Tension Pulley;8
209;RC-0291;Rear Derailleur Cage;8
210;FR-R92B-58;HL Road Frame - Black, 58;14
211;FR-R92R-32;HL Road Frame - Red, 32;14
212;HL-U509-RS;Sport-100 Helmet, Red, S;31
213;HL-U509-RM;Sport-100 Helmet, Red, M;31
214;HL-U509-RL;Sport-100 Helmet, Red, L;31
215;HL-U509-BS;Sport-100 Helmet, Black;31
216;HL-U509-BM;Sport-100 Helmet, Black, M;31
217;HL-U509-BL;Sport-100 Helmet, Black, L;31
218;SO-B909-M;Mountain Bike Socks, M;23
219;SO-B909-L;Mountain Bike Socks, L;23
220;HL-U509-YS;Sport-100 Helmet, Yellow, S;31
221;HL-U509-YM;Sport-100 Helmet, Yellow, M;31
222;HL-U509-YL;Sport-100 Helmet, Yellow, L;31
223;CA-1097-R;AWC Logo Cap, Red;19
224;CA-1098-B;AWC Logo Cap, Blue;19
225;CA-1099-O;AWC Logo Cap, Orange;19
304;FR-M94B-34;HL Mountain Frame - Black, 34;12
305;FR-M94B-36;HL Mountain Frame - Black, 36;12
306;FR-M94B-38;HL Mountain Frame - Black, 38;12
296;FR-M94B-40;HL Mountain Frame - Black, 40;12
297;FR-M94B-42;HL Mountain Frame - Black, 42;12
298;FR-M94B-44;HL Mountain Frame - Black, 44;12
301;FR-M94B-46;HL Mountain Frame - Black, 46;12
299;FR-M94B-48;HL Mountain Frame - Black, 48;12
303;FR-M94B-50;HL Mountain Frame - Black, 50;12
288;FR-M94S-36;HL Mountain Frame - Silver, 36;12
289;FR-M94S-38;HL Mountain Frame - Silver, 38;12
290;FR-M94S-40;HL Mountain Frame - Silver, 40;12
293;FR-M94S-42;HL Mountain Frame - Silver, 42;12
302;FR-M94B-52;HL Mountain Frame - Black, 52;12
295;FR-M94S-44;HL Mountain Frame - Silver, 44;12
300;FR-M94B-54;HL Mountain Frame - Black, 54;12
309;FR-M94S-46;HL Mountain Frame - Silver, 46;12
307;FR-M94S-48;HL Mountain Frame - Silver, 48;12
294;FR-M94S-50;HL Mountain Frame - Silver, 50;12
291;FR-M94S-52;HL Mountain Frame - Silver, 52;12
308;FR-M94S-54;HL Mountain Frame - Silver, 54;12
292;FR-M94S-56;HL Mountain Frame - Silver, 56;12
279;FR-R38B-32;LL Road Frame - Black, 32;14
280;FR-R38B-34;LL Road Frame - Black, 34;14
281;FR-R38B-36;LL Road Frame - Black, 36;14
282;FR-R38B-38;LL Road Frame - Black, 38;14
283;FR-R38B-40;LL Road Frame - Black, 40;14
284;FR-R38B-42;LL Road Frame - Black, 42;14
285;FR-R38B-44;LL Road Frame - Black, 44;14
286;FR-R38B-46;LL Road Frame - Black, 46;14
287;FR-R38B-48;LL Road Frame - Black, 48;14
253;FR-R38B-50;LL Road Frame - Black, 50;14
254;FR-R38B-52;LL Road Frame - Black, 52;14
255;FR-R38B-54;LL Road Frame - Black, 54;14
256;FR-R38B-56;LL Road Frame - Black, 56;14
257;FR-R38B-58;LL Road Frame - Black, 58;14
258;FR-R38B-60;LL Road Frame - Black, 60;14
259;FR-R38B-62;LL Road Frame - Black, 62;14
260;FR-R38B-64;LL Road Frame - Black, 64;14
261;FR-R38B-66;LL Road Frame - Black, 66;14
262;FR-R38R-40;LL Road Frame - Red, 40;14
263;FR-R38R-42;LL Road Frame - Red, 42;14
264;FR-R38R-44;LL Road Frame - Red, 44;14
265;FR-R38R-46;LL Road Frame - Red, 46;14
266;FR-R38R-48;LL Road Frame - Red, 48;14
267;FR-R38R-50;LL Road Frame - Red, 50;14
268;FR-R38R-52;LL Road Frame - Red, 52;14
269;FR-R38R-54;LL Road Frame - Red, 54;14
274;FR-R72R-44;ML Road Frame - Red, 44;14
275;FR-R72R-48;ML Road Frame - Red, 48;14
276;FR-R72R-52;ML Road Frame - Red, 52;14
277;FR-R72R-58;ML Road Frame - Red, 58;14
278;FR-R72R-60;ML Road Frame - Red, 60;14
270;FR-R38R-56;LL Road Frame - Red, 56;14
271;FR-R38R-58;LL Road Frame - Red, 58;14
272;FR-R38R-60;LL Road Frame - Red, 60;14
273;FR-R38R-62;LL Road Frame - Red, 62;14
241;FR-R92R-34;HL Road Frame - Red, 34;14
242;FR-R92R-36;HL Road Frame - Red, 36;14
243;FR-R92R-38;HL Road Frame - Red, 38;14
244;FR-R92R-40;HL Road Frame - Red, 40;14
245;FR-R92R-42;HL Road Frame - Red, 42;14
246;FR-R92R-44;HL Road Frame - Red, 44;14
247;FR-R92R-46;HL Road Frame - Red, 46;14
248;FR-R92R-48;HL Road Frame - Red, 48;14
249;FR-R92R-50;HL Road Frame - Red, 50;14
250;FR-R92R-52;HL Road Frame - Red, 52;14
251;FR-R92R-54;HL Road Frame - Red, 54;14
252;FR-R92R-56;HL Road Frame - Red, 56;14
238;FR-R92R-58;HL Road Frame - Red, 58;14
239;FR-R92R-60;HL Road Frame - Red, 60;14
240;FR-R92R-62;HL Road Frame - Red, 62;14
232;LJ-0192-RXS;Long-Sleeve Logo Jersey, Red, XS;21
233;LJ-0192-RS;Long-Sleeve Logo Jersey, Red, S;21
234;LJ-0192-RM;Long-Sleeve Logo Jersey, Red, M;21
229;LJ-0192-RL;Long-Sleeve Logo Jersey, Red, L;21
230;LJ-0192-RXL;Long-Sleeve Logo Jersey, Red, XL;21
231;LJ-0192-RXXL;Long-Sleeve Logo Jersey, Red, XXL;21
226;LJ-0192-BXS;Long-Sleeve Logo Jersey, Blue, XS;21
227;LJ-0192-BS;Long-Sleeve Logo Jersey, Blue, S;21
228;LJ-0192-BM;Long-Sleeve Logo Jersey, Blue, M;21
235;LJ-0192-BL;Long-Sleeve Logo Jersey, Blue, L;21
236;LJ-0192-BXL;Long-Sleeve Logo Jersey, Blue, XL;21
237;LJ-0192-BXXL;Long-Sleeve Logo Jersey, Blue, XXL;21
310;BK-R93R-62;Road-150 Red, 62;2
311;BK-R93R-44;Road-150 Red, 44;2
312;BK-R93R-48;Road-150 Red, 48;2
313;BK-R93R-52;Road-150 Red, 52;2
314;BK-R93R-56;Road-150 Red, 56;2
315;BK-R68R-58;Road-450 Red, 58;2
316;BK-R68R-60;Road-450 Red, 60;2
317;BK-R68R-44;Road-450 Red, 44;2
318;BK-R68R-48;Road-450 Red, 48;2
319;BK-R68R-52;Road-450 Red, 52;2
320;BK-R50R-54;Road-650 Red, 54;2
321;BK-R50R-56;Road-650 Red, 56;2
322;BK-R50R-58;Road-650 Red, 58;2
323;BK-R50R-60;Road-650 Red, 60;2
324;BK-R50R-62;Road-650 Red, 62;2
325;BK-R50R-64;Road-650 Red, 64;2
326;BK-R50R-42;Road-650 Red, 42;2
327;BK-R50R-44;Road-650 Red, 44;2
328;BK-R50R-46;Road-650 Red, 46;2
329;BK-R50R-48;Road-650 Red, 48;2
330;BK-R50R-50;Road-650 Red, 50;2
331;BK-R50R-52;Road-650 Red, 52;2
332;BK-R50B-52;Road-650 Black, 52;2
333;BK-R50B-54;Road-650 Black, 54;2
334;BK-R50B-56;Road-650 Black, 56;2
335;BK-R50B-58;Road-650 Black, 58;2
336;BK-R50B-60;Road-650 Black, 60;2
337;BK-R50B-62;Road-650 Black, 62;2
338;BK-R50B-40;Road-650 Black, 40;2
339;BK-R50B-42;Road-650 Black, 42;2
340;BK-R50B-44;Road-650 Black, 44;2
341;BK-R50B-46;Road-650 Black, 46;2
342;BK-R50B-48;Road-650 Black, 48;2
343;BK-R50B-50;Road-650 Black, 50;2
344;BK-M82S-38;Mountain-100 Silver, 38;1
345;BK-M82S-42;Mountain-100 Silver, 42;1
346;BK-M82S-44;Mountain-100 Silver, 44;1
347;BK-M82S-48;Mountain-100 Silver, 48;1
348;BK-M82B-38;Mountain-100 Black, 38;1
349;BK-M82B-42;Mountain-100 Black, 42;1
350;BK-M82B-44;Mountain-100 Black, 44;1
351;BK-M82B-48;Mountain-100 Black, 48;1
352;BK-M68S-30;Mountain-200 Silver, 30;1
353;BK-M68S-32;Mountain-200 Silver, 32;1
354;BK-M68S-34;Mountain-200 Silver, 34;1
355;BK-M68S-36;Mountain-200 Silver, 36;1
356;BK-M68S-38;Mountain-200 Silver, 38;1
357;BK-M68S-40;Mountain-200 Silver, 40;1
358;BK-M68B-42;Mountain-200 Black, 42;1
359;BK-M68B-44;Mountain-200 Black, 44;1
360;BK-M68B-46;Mountain-200 Black, 46;1
361;BK-M68B-48;Mountain-200 Black, 48;1
409;FR-M63B-38;ML Mountain Frame - Black, 38;12
410;FW-M423;LL Mountain Front Wheel;17
411;FW-M762;ML Mountain Front Wheel;17
412;FW-M928;HL Mountain Front Wheel;17
413;FW-R623;LL Road Front Wheel;17
414;FW-R762;ML Road Front Wheel;17
415;FW-R820;HL Road Front Wheel;17
416;FW-T905;Touring Front Wheel;17
417;FR-R72Y-38M;ML Road Frame-W - Yellow, 38M;14
418;FR-R72Y-38L;ML Road Frame-W - Yellow, 38L;14
419;RW-M423;LL Mountain Rear Wheel;17
420;RW-M762;ML Mountain Rear Wheel;17
421;RW-M928;HL Mountain Rear Wheel;17
422;RW-R623;LL Road Rear Wheel;17
423;RW-R762;ML Road Rear Wheel;17
424;RW-R820;HL Road Rear Wheel;17
425;RW-T905;Touring Rear Wheel;17
426;FR-M63B-40;ML Mountain Frame - Black, 40;12
427;FR-M63B-44;ML Mountain Frame - Black, 44;12
428;FR-M63B-48;ML Mountain Frame - Black, 48;12
429;FR-R72Y-40M;ML Road Frame-W - Yellow, 40M;14
430;FR-R72Y-40L;ML Road Frame-W - Yellow, 40L;14
431;FR-R72Y-42M;ML Road Frame-W - Yellow, 42M;14
432;FR-R72Y-42L;ML Road Frame-W - Yellow, 42L;14
433;FR-R72Y-44M;ML Road Frame-W - Yellow, 44M;14
434;FR-R72Y-44L;ML Road Frame-W - Yellow, 44L;14
435;FR-R72Y-48M;ML Road Frame-W - Yellow, 48M;14
436;FR-R72Y-48L;ML Road Frame-W - Yellow, 48L;14
437;FR-R92B-62M;HL Road Frame - Black, 62M;14
438;FR-R92B-62L;HL Road Frame - Black, 62L;14
439;FR-R92B-44M;HL Road Frame - Black, 44M;14
440;FR-R92B-44L;HL Road Frame - Black, 44L;14
441;FR-R92B-48M;HL Road Frame - Black, 48M;14
442;FR-R92B-48L;HL Road Frame - Black, 48L;14
443;FR-R92B-52M;HL Road Frame - Black, 52M;14
444;FR-R92B-52L;HL Road Frame - Black, 52L;14
362;BK-M68B-50;Mountain-200 Black, 50;1
363;BK-M68B-52;Mountain-200 Black, 52;1
364;BK-M47B-38;Mountain-300 Black, 38;1
365;BK-M47B-40;Mountain-300 Black, 40;1
366;BK-M47B-44;Mountain-300 Black, 44;1
367;BK-M47B-48;Mountain-300 Black, 48;1
368;BK-R89R-44;Road-250 Red, 44;2
369;BK-R89R-48;Road-250 Red, 48;2
370;BK-R89R-52;Road-250 Red, 52;2
371;BK-R89R-56;Road-250 Red, 56;2
372;BK-R89R-58;Road-250 Red, 58;2
373;BK-R89B-44;Road-250 Black, 44;2
374;BK-R89B-46;Road-250 Black, 46;2
375;BK-R89B-48;Road-250 Black, 48;2
376;BK-R89B-50;Road-250 Black, 50;2
377;BK-R89B-52;Road-250 Black, 52;2
378;BK-R89B-54;Road-250 Black, 54;2
379;BK-R89B-56;Road-250 Black, 56;2
380;BK-R89B-58;Road-250 Black, 58;2
381;BK-R64Y-32;Road-550-W Yellow, 32;2
382;BK-R64Y-34;Road-550-W Yellow, 34;2
383;BK-R64Y-36;Road-550-W Yellow, 36;2
384;BK-R64Y-38;Road-550-W Yellow, 38;2
385;BK-R64Y-40;Road-550-W Yellow, 40;2
386;BK-R64Y-42;Road-550-W Yellow, 42;2
387;BK-R64Y-44;Road-550-W Yellow, 44;2
388;BK-R64Y-46;Road-550-W Yellow, 46;2
389;BK-R64Y-48;Road-550-W Yellow, 48;2
390;BK-R64Y-50;Road-550-W Yellow, 50;2
391;FK-1639;LL Fork;10
392;FK-5136;ML Fork;10
393;FK-9939;HL Fork;10
394;HS-0296;LL Headset;11
395;HS-2451;ML Headset;11
396;HS-3479;HL Headset;11
397;HB-M243-38;LL Mountain Handlebars, 38;4
398;HB-M244-40;LL Mountain Handlebars, 40;4
399;HB-M763-42;ML Mountain Handlebars, 42;4
400;HB-M764-44;ML Mountain Handlebars, 44;4
401;HB-M918-46;HL Mountain Handlebars, 46;4
402;HB-M919-48;HL Mountain Handlebars, 48;4
403;HB-R504-40;LL Road Handlebars, 40;4
404;HB-R505-42;LL Road Handlebars, 42;4
405;HB-R720-44;ML Road Handlebars, 44;4
406;HB-R721-46;ML Road Handlebars, 46;4
445;SH-M897-S;Men's Sports Shorts, S;22
446;PA-T100;Touring-Panniers, Large;35
447;LO-C100;Cable Lock;34
448;PU-0452;Minipump;36
449;PU-M044;Mountain Pump;36
450;LT-T990;Taillights - Battery-Powered;33
451;LT-H902;Headlights - Dual-Beam;33
452;LT-H903;Headlights - Weatherproof;33
453;SH-M897-M;Men's Sports Shorts, M;22
454;SH-M897-L;Men's Sports Shorts, L;22
455;SH-M897-X;Men's Sports Shorts, XL;22
456;TG-W091-S;Women's Tights, S;24
457;TG-W091-M;Women's Tights, M;24
458;TG-W091-L;Women's Tights, L;24
459;SB-M891-S;Men's Bib-Shorts, S;18
460;SB-M891-M;Men's Bib-Shorts, M;18
461;SB-M891-L;Men's Bib-Shorts, L;18
462;GL-H102-XS;Half-Finger Gloves, XS;20
463;GL-H102-S;Half-Finger Gloves, S;20
464;GL-H102-M;Half-Finger Gloves, M;20
465;GL-H102-L;Half-Finger Gloves, L;20
466;GL-H102-XL;Half-Finger Gloves, XL;20
467;GL-H102-XXL;Half-Finger Gloves, XXL;20
468;GL-F110-S;Full-Finger Gloves, S;20
469;GL-F110-M;Full-Finger Gloves, M;20
470;GL-F110-L;Full-Finger Gloves, L;20
471;VE-C304-S;Classic Vest, S;25
472;VE-C304-M;Classic Vest, M;25
473;VE-C304-L;Classic Vest, L;25
474;SH-W890-S;Women's Mountain Shorts, S;22
475;SH-W890-M;Women's Mountain Shorts, M;22
476;SH-W890-L;Women's Mountain Shorts, L;22
477;WB-H098;Water Bottle - 30 oz.;28
478;BC-M005;Mountain Bottle Cage;28
479;BC-R205;Road Bottle Cage;28
480;PK-7098;Patch Kit/8 Patches;37
481;SO-R809-M;Racing Socks, M;23
482;SO-R809-L;Racing Socks, L;23
483;RA-H123;Hitch Rack - 4-Bike;26
484;CL-9009;Bike Wash - Dissolver;29
485;FE-6654;Fender Set - Mountain;30
486;ST-1401;All-Purpose Bike Stand;27
487;HY-1023-70;Hydration Pack - 70 oz.;32
488;SJ-0194-S;Short-Sleeve Classic Jersey, S;21
489;SJ-0194-M;Short-Sleeve Classic Jersey, M;21
490;SJ-0194-L;Short-Sleeve Classic Jersey, L;21
491;SJ-0194-X;Short-Sleeve Classic Jersey, XL;21
492;FR-T98Y-60;HL Touring Frame - Yellow, 60;16
